id,lat,lon
1000309,-28.438,153.563
1000310,-28.439,153.5629
1000311,-28.44,153.5627
1000312,-28.4409,153.5626
1000313,-28.4419,153.5624
1000314,-28.4429,153.5622
1000315,-28.4439,153.562
1000316,-28.4449,153.5619
1000317,-28.4459,153.5617
1000318,-28.4469,153.5615
1000319,-28.4478,153.5613
1000320,-28.4488,153.5611
1000321,-28.4498,153.561
1000322,-28.4508,153.5609
1000323,-28.4518,153.5607
1000324,-28.4528,153.5606
1000325,-28.4537,153.5604
1000326,-28.4547,153.5602
1000327,-28.4557,153.56
1000328,-28.4567,153.5599
1000329,-28.4577,153.5598
1000330,-28.4587,153.5597
1000331,-28.4597,153.5596
1000332,-28.4607,153.5595
1000333,-28.4617,153.5593
1000334,-28.4627,153.5592
1000335,-28.4637,153.5592
1000336,-28.4647,153.559
1000337,-28.4656,153.5589
1000338,-28.4666,153.5588
1000339,-28.4676,153.5587
1000340,-28.4686,153.5587
1000341,-28.4696,153.5586
1000342,-28.4706,153.5585
1000343,-28.4716,153.5584
1000344,-28.4726,153.5584
1000345,-28.4736,153.5584
1000346,-28.4746,153.5583
1000347,-28.4756,153.5583
1000348,-28.4766,153.5583
1000349,-28.4776,153.5582
1000350,-28.4786,153.5582
1000351,-28.4792,153.5588
1000352,-28.4796,153.5596
1000353,-28.4807,153.5598
1000354,-28.4816,153.5598
1000355,-28.4826,153.5596
1000356,-28.4836,153.5593
1000357,-28.4845,153.5591
1000358,-28.4855,153.5589
1000359,-28.4865,153.559
1000360,-28.4875,153.5592
1000361,-28.4885,153.5594
1000362,-28.4895,153.5595
1000363,-28.4905,153.5594
1000364,-28.4915,153.5594
1000365,-28.4925,153.5594
1000366,-28.4935,153.5594
1000367,-28.4945,153.5595
1000368,-28.4955,153.5595
1000369,-28.4965,153.5596
1000370,-28.4975,153.5596
1000371,-28.4985,153.5597
1000372,-28.4995,153.5597
1000373,-28.5005,153.5596
1000374,-28.5015,153.5594
1000375,-28.5024,153.5591
1000376,-28.5033,153.5587
1000377,-28.5042,153.5583
1000378,-28.5052,153.5581
1000379,-28.5062,153.5582
1000380,-28.5072,153.5583
1000381,-28.5082,153.5584
1000382,-28.5092,153.5587
1000383,-28.5102,153.5589
1000384,-28.5111,153.5593
1000385,-28.5119,153.5599
1000386,-28.5127,153.5605
1000387,-28.5137,153.5607
1000388,-28.5146,153.5605
1000389,-28.5156,153.5602
1000390,-28.5166,153.5599
1000391,-28.5175,153.5596
1000392,-28.5185,153.5593
1000393,-28.5194,153.5591
1000394,-28.5204,153.5589
1000395,-28.5214,153.5588
1000396,-28.5224,153.5587
1000397,-28.5234,153.5588
1000398,-28.5244,153.5588
1000399,-28.5254,153.5589
1000400,-28.5264,153.5591
1000401,-28.5273,153.5595
1000402,-28.5282,153.5599
1000403,-28.5291,153.5603
1000404,-28.5301,153.5607
1000405,-28.531,153.5611
1000406,-28.5319,153.5615
1000407,-28.5329,153.5618
1000408,-28.5338,153.5619
1000409,-28.5348,153.562
1000410,-28.5358,153.5621
1000411,-28.5368,153.5622
1000412,-28.5378,153.5623
1000413,-28.5388,153.5626
1000414,-28.5398,153.5628
1000415,-28.5408,153.5628
1000416,-28.5418,153.5627
1000417,-28.5428,153.5626
1000418,-28.5437,153.5623
1000419,-28.5447,153.5621
1000420,-28.5453,153.5628
1000421,-28.5455,153.5637
1000422,-28.5461,153.5646
1000423,-28.5469,153.5651
1000424,-28.5479,153.5654
1000425,-28.5488,153.5653
1000426,-28.5497,153.5648
1000427,-28.5506,153.5645
1000428,-28.5516,153.5646
1000429,-28.5525,153.565
1000430,-28.5535,153.565
1000431,-28.5545,153.5651
1000432,-28.5555,153.5652
1000433,-28.5565,153.5653
1000434,-28.5575,153.5656
1000435,-28.5584,153.566
1000436,-28.5593,153.5664
1000437,-28.5602,153.5668
1000438,-28.5612,153.5671
1000439,-28.5622,153.5674
1000440,-28.5632,153.5674
1000441,-28.5642,153.5675
1000442,-28.5651,153.5676
1000443,-28.5661,153.5676
1000444,-28.5671,153.5677
1000445,-28.5681,153.5679
1000446,-28.569,153.5683
1000447,-28.57,153.5686
1000448,-28.571,153.5688
1000449,-28.5719,153.5691
1000450,-28.5729,153.5694
1000451,-28.5739,153.5696
